time, Quad.Est.E.Yaw
0.709994,0.031391
0.714994,0.029628
0.719994,0.010386
0.724994,0.011154
0.729994,0.003847
0.734994,-0.000963
0.739994,0.007679
0.744994,0.006828
0.749994,0.004307
0.754994,0.006403
0.759994,0.006136
0.764994,0.006619
0.769994,0.009845
0.774994,0.010394
0.779994,0.007957
0.784993,0.007373
0.789993,0.002225
0.794993,0.003931
0.799993,-0.009110
0.804993,-0.009264
0.809993,-0.009497
0.814993,-0.011979
0.819993,-0.028661
0.824993,-0.029946
0.829993,-0.043034
0.834993,-0.042686
0.839993,-0.042541
0.844993,-0.044944
0.849993,-0.047070
0.854993,-0.048406
0.859993,-0.040321
0.864992,-0.040934
0.869992,-0.043094
0.874992,-0.042924
0.879992,-0.046792
0.884992,-0.049289
0.889992,-0.054689
0.894992,-0.054722
0.899992,-0.057225
0.904992,-0.053396
0.909992,-0.047512
0.914992,-0.046759
0.919992,-0.026304
0.924992,-0.026534
0.929992,0.000572
0.934992,-0.001796
0.939991,-0.010636
0.944991,-0.011323
0.949991,-0.004550
0.954991,-0.004755
0.959991,0.000027
0.964991,0.005245
0.969991,0.002000
0.974991,0.003381
0.979991,0.006661
0.984991,0.006004
0.989991,0.006527
0.994991,0.004484
0.999991,-0.000980
1.004991,0.000235
1.009991,-0.004761
1.014991,-0.006053
1.019992,0.005000
1.024992,0.004333
1.029992,-0.004278
1.034992,-0.000040
1.039993,0.013242
1.044993,0.012354
1.049993,0.018358
1.054993,0.018512
1.059994,0.035998
1.064994,0.036542
1.069994,0.031898
1.074994,0.032128
1.079994,0.035846
1.084995,0.037204
1.089995,0.025999
1.094995,0.027405
1.099995,0.032931
1.104996,0.033241
1.109996,0.025659
1.114996,0.027487
1.119996,0.025256
1.124997,0.024926
1.129997,0.029459
1.134997,0.030296
1.139997,0.046922
1.144997,0.047496
1.149998,0.052625
1.154998,0.052077
1.159998,0.045778
1.164998,0.044178
1.169999,0.021795
1.174999,0.021465
1.179999,0.014958
1.184999,0.015290
1.190000,0.018848
1.195000,0.018217
1.200000,0.000298
1.205000,0.000039
1.210001,-0.012890
1.215001,-0.013924
1.220001,-0.002309
