time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
1.465012,nan,-0.025496,-0.000132
1.470013,-0.064814,-0.029723,-0.000112
1.475013,nan,-0.032378,-0.000087
1.480013,0.027684,-0.025181,-0.000057
1.485013,nan,-0.024360,-0.000024
1.490014,0.234257,0.002263,0.000014
1.495014,nan,0.003153,0.000057
1.500014,0.039637,0.007998,0.000100
1.505014,nan,0.008949,0.000142
1.510015,0.131698,0.022895,0.000182
1.515015,nan,0.024467,0.000220
1.520015,0.004634,0.023850,0.000254
1.525015,nan,0.023514,0.000288
1.530015,0.033967,0.025613,0.000324
1.535016,nan,0.024167,0.000362
1.540016,-0.131106,0.007060,0.000398
1.545016,nan,0.006002,0.000433
1.550016,-0.081230,-0.003915,0.000468
1.555017,nan,-0.003668,0.000504
1.560017,0.012540,-0.003642,0.000536
1.565017,nan,-0.002893,0.000562
1.570017,-0.088079,-0.013310,0.000583
1.575018,nan,-0.014582,0.000598
1.580018,0.195346,0.009401,0.000604
1.585018,nan,0.011726,0.000605
1.590018,-0.186816,-0.009762,0.000600
1.595019,nan,-0.009293,0.000591
1.600019,-0.064818,-0.015461,0.000584
1.605019,nan,-0.013731,0.000582
1.610019,-0.063847,-0.019315,0.000583
1.615019,nan,-0.018534,0.000587
1.620020,-0.023149,-0.020062,0.000593
1.625020,nan,-0.017305,0.000597
1.630020,-0.010939,-0.017293,0.000601
1.635020,nan,-0.018872,0.000610
1.640021,0.006935,-0.014727,0.000623
1.645021,nan,-0.013230,0.000638
1.650021,-0.121862,-0.028698,0.000656
1.655021,nan,-0.027356,0.000679
1.660022,0.023532,-0.022082,0.000710
1.665022,nan,-0.022138,0.000745
1.670022,0.125591,-0.005021,0.000780
1.675022,nan,-0.006005,0.000812
1.680022,0.084177,0.004111,0.000840
1.685023,nan,0.004573,0.000861
1.690023,-0.079959,-0.005197,0.000872
1.695023,nan,-0.004991,0.000880
1.700023,0.032595,0.001484,0.000889
1.705024,nan,0.001395,0.000903
1.710024,-0.117706,-0.013146,0.000922
1.715024,nan,-0.014302,0.000944
1.720024,0.040506,-0.008001,0.000967
1.725025,nan,-0.009668,0.000988
1.730025,-0.009808,-0.009739,0.001006
1.735025,nan,-0.010986,0.001020
1.740025,-0.135835,-0.025915,0.001030
1.745026,nan,-0.028976,0.001036
1.750026,-0.175955,-0.044994,0.001031
1.755026,nan,-0.045381,0.001018
1.760026,0.078380,-0.031666,0.001003
1.765026,nan,-0.031550,0.000987
1.770027,-0.101741,-0.039792,0.000972
1.775027,nan,-0.041684,0.000962
1.780027,-0.054243,-0.045184,0.000956
1.785027,nan,-0.046370,0.000951
1.790028,0.150141,-0.025883,0.000944
1.795028,nan,-0.029357,0.000934
1.800028,-0.058772,-0.033848,0.000922
1.805028,nan,-0.035417,0.000905
1.810029,-0.079066,-0.039483,0.000883
1.815029,nan,-0.041514,0.000858
1.820029,0.023995,-0.033314,0.000836
1.825029,nan,-0.032653,0.000815
1.830029,-0.046477,-0.036235,0.000795
1.835030,nan,-0.034921,0.000773
1.840030,0.145700,-0.011759,0.000748
1.845030,nan,-0.012298,0.000721
1.850030,0.054440,-0.004101,0.000694
1.855031,nan,-0.003868,0.000670
1.860031,-0.039486,-0.006241,0.000648
1.865031,nan,-0.005104,0.000629
1.870031,-0.037514,-0.009164,0.000613
1.875032,nan,-0.008328,0.000599
1.880032,-0.132944,-0.020733,0.000584
1.885032,nan,-0.021480,0.000572
1.890032,-0.093010,-0.029996,0.000567
1.895033,nan,-0.030497,0.000568
1.900033,0.120598,-0.012855,0.000572
1.905033,nan,-0.012614,0.000580
1.910033,-0.137555,-0.024217,0.000593
1.915033,nan,-0.026115,0.000609
1.920034,-0.047810,-0.029469,0.000627
1.925034,nan,-0.026545,0.000640
1.930034,-0.002198,-0.025369,0.000651
1.935034,nan,-0.025446,0.000661
1.940035,-0.008209,-0.022578,0.000668
1.945035,nan,-0.023921,0.000676
1.950035,0.184098,0.000788,0.000689
1.955035,nan,-0.002338,0.000705
1.960036,0.181917,0.018314,0.000728
1.965036,nan,0.019892,0.000755
1.970036,-0.048727,0.014873,0.000783
1.975036,nan,0.015572,0.000810
1.980036,-0.104453,0.003138,0.000839
1.985037,nan,0.002351,0.000869
1.990037,0.071742,0.010599,0.000897
1.995037,nan,0.010273,0.000922
2.000037,-0.144672,-0.004398,0.000941
2.005037,nan,-0.002512,0.000952
2.010037,-0.055637,-0.006954,0.000961
2.015036,nan,-0.008722,0.000969
2.020036,-0.216102,-0.030290,0.000981
2.025036,nan,-0.033051,0.000995
2.030035,-0.073618,-0.037955,0.001014
2.035035,nan,-0.041568,0.001034
2.040035,-0.065935,-0.045143,0.001057
